ECG Signal,Q-Point,R-Peak,S-Point,P-Wave Start,P-Wave Peak,P-Wave End,T-Wave Start,T-Wave Peak,T-Wave End
-35.512,0,0,0,0,0,0,0,0,0
-31.159,0,0,0,0,0,0,0,0,0
-26.972,0,0,0,0,0,0,0,0,0
-23.117,0,0,0,0,0,0,0,0,0
-19.727,0,0,0,0,0,0,0,0,0
-17.172,0,0,0,0,0,0,0,0,0
-15.341,0,0,0,0,0,0,0,0,0
-12.92,0,0,0,0,0,0,0,0,0
-9.696,0,0,0,0,0,0,0,0,0
-6.591,0,0,0,0,0,0,0,0,0
-5.385,0,0,0,0,0,0,0,0,0
-9.438,0,0,0,0,0,0,0,0,0
-18.44,0,0,0,0,0,0,0,0,0
-28.471,0,0,0,0,0,0,0,0,0
-35.448,0,0,0,0,0,0,0,0,0
-34.232,0,0,0,0,0,0,0,0,0
-24.783,0,0,0,0,0,0,0,0,0
-12.185,0,0,0,0,0,0,0,0,0
-0.325,0,0,0,0,0,0,0,0,0
6.616,0,0,0,0,0,0,0,0,0
7.729,0,0,0,0,0,0,0,0,0
6.392,0,0,0,0,0,0,0,0,0
4.39,0,0,0,0,0,0,0,0,0
3.12,0,0,0,0,0,0,0,0,0
3.392,0,0,0,0,0,0,0,0,0
3.933,0,0,0,0,0,0,0,0,0
4.211,0,0,0,0,0,0,0,0,0
4.398,0,0,0,0,0,0,0,0,0
4.39,0,0,0,0,0,0,0,0,0
4.477,0,0,0,0,0,0,0,0,0
4.934,0,0,0,0,0,0,0,0,0
5.602,0,0,0,0,0,0,0,0,0
6.292,0,0,0,0,0,0,0,0,0
6.944,0,0,0,0,0,0,0,0,0
7.445,0,0,0,0,0,0,0,0,0
7.742,0,0,0,0,0,0,0,0,0
7.907,0,0,0,0,0,0,0,0,0
7.969,0,0,0,0,0,0,0,0,0
7.925,0,0,0,0,0,0,0,0,0
7.824,0,0,0,0,0,0,0,0,0
7.703,0,0,0,0,0,0,0,0,0
7.576,0,0,0,0,0,0,0,0,0
7.478,0,0,0,0,0,0,0,0,0
7.423,0,0,0,0,0,0,0,0,0
7.394,0,0,0,0,0,0,0,0,0
7.383,0,0,0,0,0,0,0,0,0
7.379,0,0,0,0,0,0,0,0,0
7.372,0,0,0,0,0,0,0,0,0
7.369,0,0,0,0,0,0,0,0,0
7.377,0,0,0,0,0,0,0,0,0
7.399,0,0,0,0,0,0,0,0,0
7.44,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0
7.58,0,0,0,0,0,0,0,0,0
7.681,0,0,0,0,0,0,0,0,0
7.801,0,0,0,0,0,0,0,0,0
7.94,0,0,0,0,0,0,0,0,0
8.095,0,0,0,0,0,0,0,0,0
8.263,0,0,0,0,0,0,0,0,0
8.443,0,0,0,0,0,0,0,0,0
8.636,0,0,0,0,0,0,0,0,0
8.84,0,0,0,0,0,0,0,0,0
9.059,0,0,0,0,0,0,0,0,0
9.292,0,0,0,0,0,0,0,0,0
9.538,0,0,0,0,0,0,0,0,0
9.796,0,0,0,0,0,0,0,0,0
10.061,0,0,0,0,0,0,0,0,0
10.334,0,0,0,0,0,0,0,0,0
10.611,0,0,0,0,0,0,0,0,0
10.892,0,0,0,0,0,0,0,0,0
11.174,0,0,0,0,0,0,0,0,0
11.454,0,0,0,0,0,0,0,0,0
11.731,0,0,0,0,0,0,0,0,0
12.002,0,0,0,0,0,0,0,0,0
12.266,0,0,0,0,0,0,0,0,0
12.523,0,0,0,0,0,0,0,0,0
12.77,0,0,0,0,0,0,0,0,0
13.007,0,0,0,0,0,0,0,0,0
13.231,0,0,0,0,0,0,0,0,0
13.441,0,0,0,0,0,0,0,0,0
13.637,0,0,0,0,0,0,0,0,0
13.817,0,0,0,0,0,0,0,0,0
13.98,0,0,0,0,0,0,0,0,0
14.123,0,0,0,0,0,0,0,0,0
14.247,0,0,0,0,0,0,0,0,0
14.349,0,0,0,0,0,0,0,0,0
14.428,0,0,0,0,0,0,0,0,0
14.484,0,0,0,0,0,0,0,0,0
14.515,0,0,0,0,0,0,0,0,0
14.522,0,0,0,0,0,0,0,0,0
14.502,0,0,0,0,0,0,0,0,0
14.457,0,0,0,0,0,0,0,0,0
14.385,0,0,0,0,0,0,0,0,0
14.287,0,0,0,0,0,0,0,0,0
14.161,0,0,0,0,0,0,0,0,0
14.008,0,0,0,0,0,0,0,0,0
13.828,0,0,0,0,0,0,0,0,0
13.62,0,0,0,0,0,0,0,0,0
13.385,0,0,0,0,0,0,0,0,0
13.121,0,0,0,0,0,0,0,0,0
12.829,0,0,0,0,0,0,0,0,0
12.509,0,0,0,0,0,0,0,0,0
12.161,0,0,0,0,0,0,0,0,0
11.785,0,0,0,0,0,0,0,0,0
11.381,0,0,0,0,0,0,0,0,0
10.948,0,0,0,0,0,0,0,0,0
10.487,0,0,0,0,0,0,0,0,0
9.997,0,0,0,0,0,0,0,0,0
9.478,0,0,0,0,0,0,0,0,0
8.93,0,0,0,0,0,0,0,0,0
8.354,0,0,0,0,0,0,0,0,0
7.749,0,0,0,0,0,0,0,0,0
7.115,0,0,0,0,0,0,0,0,0
6.453,0,0,0,0,0,0,0,0,0
5.762,0,0,0,0,0,0,0,0,0
5.045,0,0,0,0,0,0,0,0,0
4.299,0,0,0,0,0,0,0,0,0
3.527,0,0,0,0,0,0,0,0,0
2.728,0,0,0,0,0,0,0,0,0
1.903,0,0,0,0,0,0,0,0,0
1.051,0,0,0,0,0,0,0,0,0
0.173,0,0,0,0,0,0,0,0,0
-0.73,0,0,0,0,0,0,0,0,0
-1.66,0,0,0,0,0,0,0,0,0
-2.615,0,0,0,0,0,0,0,0,0
-3.596,0,0,0,0,0,0,0,0,0
-4.602,0,0,0,0,0,0,0,0,0
-5.635,0,0,0,0,0,0,0,0,0
-6.692,0,0,0,0,0,0,0,0,0
-7.775,0,0,0,0,0,0,0,0,0
-8.884,0,0,0,0,0,0,0,0,0
-10.017,0,0,0,0,0,0,0,0,0
-11.174,0,0,0,0,0,0,0,0,0
-12.354,0,0,0,0,0,0,0,0,0
-13.558,0,0,0,0,0,0,0,0,0
-14.782,0,0,0,0,0,0,0,0,0
-16.028,0,0,0,0,0,0,0,0,0
-17.292,0,0,0,0,0,0,0,0,0
-18.573,0,0,0,0,0,0,0,0,0
-19.871,0,0,0,0,0,0,0,0,0
-21.182,0,0,0,0,0,0,0,0,0
-22.506,0,0,0,0,0,0,0,0,0
-23.84,0,0,0,0,0,0,0,0,0
-25.183,0,0,0,0,0,0,0,0,0
-26.532,0,0,0,0,0,0,0,0,0
-27.885,0,0,0,0,0,0,0,0,0
-29.239,0,0,0,0,0,0,0,0,0
-30.591,0,0,0,0,0,0,0,0,0
-31.938,0,0,0,0,0,0,0,0,0
-33.278,0,0,0,0,0,0,0,0,0
-34.606,0,0,0,0,0,0,0,0,0
-35.92,0,0,0,0,0,0,0,0,0
-37.215,0,0,0,0,0,0,0,0,0
-38.487,0,0,0,0,0,0,0,0,0
-39.732,0,0,0,0,0,0,0,0,0
-40.947,0,0,0,0,0,0,0,0,0
-42.127,0,0,0,0,0,0,0,0,0
-43.265,0,0,0,0,0,0,0,0,0
-44.356,0,0,0,0,0,0,0,0,0
-45.392,0,0,0,0,0,0,0,0,0
-46.37,0,0,0,0,0,0,0,0,0
-47.284,0,0,0,0,0,0,0,0,0
-48.129,0,0,0,0,0,0,0,0,0
-48.902,0,0,0,0,0,0,0,0,0
-49.596,0,0,0,0,0,0,0,0,0
-50.206,0,0,0,0,0,0,0,0,0
-50.729,0,0,0,0,0,0,0,0,0
-51.162,0,0,0,0,0,0,0,0,0
-51.499,0,0,0,0,0,0,0,0,0
-51.735,0,0,0,0,0,0,0,0,0
-51.86,0,0,0,0,0,0,0,0,0
-51.869,0,0,0,1,0,0,0,0,0
-51.755,0,0,0,0,0,0,0,0,0
-51.517,0,0,0,0,0,0,0,0,0
-51.154,0,0,0,0,0,0,0,0,0
-50.663,0,0,0,0,0,0,0,0,0
-50.038,0,0,0,0,0,0,0,0,0
-49.275,0,0,0,0,0,0,0,0,0
-48.365,0,0,0,0,0,0,0,0,0
-47.305,0,0,0,0,0,0,0,0,0
-46.092,0,0,0,0,0,0,0,0,0
-44.722,0,0,0,0,0,0,0,0,0
-43.189,0,0,0,0,0,0,0,0,0
-41.489,0,0,0,0,0,0,0,0,0
-39.62,0,0,0,0,0,0,0,0,0
-37.587,0,0,0,0,0,0,0,0,0
-35.408,0,0,0,0,0,0,0,0,0
-33.091,0,0,0,0,0,0,0,0,0
-30.645,0,0,0,0,0,0,0,0,0
-28.074,0,0,0,0,0,0,0,0,0
-25.372,0,0,0,0,0,0,0,0,0
-22.545,0,0,0,0,0,0,0,0,0
-19.61,0,0,0,0,0,0,0,0,0
-16.591,0,0,0,0,0,0,0,0,0
-13.523,0,0,0,0,0,0,0,0,0
-10.438,0,0,0,0,0,0,0,0,0
-7.346,0,0,0,0,0,0,0,0,0
-4.255,0,0,0,0,0,0,0,0,0
-1.172,0,0,0,0,0,0,0,0,0
1.893,0,0,0,0,0,0,0,0,0
4.915,0,0,0,0,0,0,0,0,0
7.895,0,0,0,0,0,0,0,0,0
10.88,0,0,0,0,0,0,0,0,0
13.908,0,0,0,0,0,0,0,0,0
16.98,0,0,0,0,0,0,0,0,0
19.977,0,0,0,0,0,0,0,0,0
22.679,0,0,0,0,0,0,0,0,0
